Drug,Recommendation,Rationale,Standardized,ExStandardized
Meperidine,Avoid,"Oral analgesic not effective in dosages commonly used; may have higher risk of neurotoxicity, including delirium, than other opioids; safer alternatives available","[""MEPERIDINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE"", ""ATROPINE SULFATE; MEPERIDINE HYDROCHLORIDE"", ""MEPERIDINE HYDROCHLORIDE PRESERVATIVE FREE"", ""MEPERIDINE AND ATROPINE SULFATE"", ""MEPERIDINE HYDROCHLORIDE""]",MEPERIDINE
Aspirin (>325 mg/day),"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",[],ACETYLSALICYLIC ACID
Diclofenac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""DICLOFENAC POTASSIUM"", ""DICLOFENAC SODIUM; MISOPROSTOL"", ""DICLOFENAC SODIUM"", ""DICLOFENAC SODIUM "", ""DICLOFENAC"", ""DICLOFENAC SODIUM AND MISOPROSTOL"", ""DICLOFENAC EPOLAMINE""]",DICLOFENAC
Diflunisal,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""DIFLUNISAL""]",DIFLUNISAL
Etodolac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""ETODOLAC""]",ETODOLAC
Fenoprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""FENOPROFEN CALCIUM""]",FENOPROFEN
Ibuprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""HYDROCODONE BITARTRATE; IBUPROFEN"", ""FAMOTIDINE; IBUPROFEN"", ""IBUPROFEN AND PHENYLEPHRINE HYDROCHLORIDE"", ""CHILDREN'S IBUPROFEN"", ""IBUPROFEN LYSINE"", ""OXYCODONE HYDROCHLORIDE AND IBUPROFEN"", ""IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE"", ""IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE"", ""IBUPROFEN SODIUM"", ""HYDROCODONE BITARTRATE AND IBUPROFEN"", ""DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN"", ""CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE"", ""IBUPROFEN AND DIPHENHYDRAMINE CITRATE"", ""IBUPROFEN; OXYCODONE HYDROCHLORIDE"", ""ACETAMINOPHEN; IBUPROFEN"", ""CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE"", ""IBUPROFEN"", ""IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE"", ""DIPHENHYDRAMINE CITRATE; IBUPROFEN"", ""IBUPROFEN AND DIPHENHYDRAMINE HYDROCHLORIDE"", ""IBUPROFEN AND FAMOTIDINE"", ""JUNIOR STRENGTH IBUPROFEN""]",IBUPROFEN
Ketoprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""KETOPROFEN""]",KETOPROFEN
Meclofenamate,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""MECLOFENAMATE SODIUM""]",MECLOFENAMIC ACID
Mefenamic Acid,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""MEFENAMIC ACID""]",MEFENAMIC ACID
Meloxicam,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""MELOXICAM"", ""BUPIVACAINE; MELOXICAM""]",MELOXICAM
Nabumetone,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""NABUMETONE""]",NABUMETONE
Naproxen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""NAPROXEN SODIUM AND PSEUDOEPHEDRINE HYDROCHLORIDE"", ""NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE"", ""SUMATRIPTAN AND NAPROXEN SODIUM"", ""DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM"", ""NAPROXEN SODIUM AND DIPHENHYDRAMINE HYDROCHLORIDE"", ""SUMATRIPTAN; NAPROXEN SODIUM"", ""NAPROXEN SODIUM"", ""NAPROXEN"", ""LANSOPRAZOLE; NAPROXEN"", ""NAPROXEN AND ESOMEPRAZOLE MAGNESIUM"", ""ESOMEPRAZOLE MAGNESIUM; NAPROXEN"", ""NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE""]",NAPROXEN
Oxaprozin,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""OXAPROZIN POTASSIUM"", ""OXAPROZIN""]",OXAPROZIN
Piroxicam,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""PIROXICAM""]",PIROXICAM
Sulindac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""SULINDAC""]",SULINDAC
Tolmetin,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related","[""TOLMETIN SODIUM""]",TOLMETIN
Indomethacin,Avoid,"Increased risk of gastrointestinal bleeding/peptic ulcer disease and acute kidney injury in older adults. Indomethacin is more likely than other NSAIDs to have adverse CNS effects. Of all the NSAIDs, indomethacin has the most adverse effects","[""INDOMETHACIN SODIUM"", ""INDOMETHACIN""]",INDOMETHACIN
Ketorolac,Avoid,Increased risk of gastrointestinal bleeding/peptic ulcer disease and acute kidney injury in older adults,"[""KETOROLAC TROMETHAMINE AND PHENYLEPHRINE HYDROCHLORIDE"", ""KETOROLAC TROMETHAMINE"", ""KETOROLAC TROMETHAMINE; PHENYLEPHRINE HYDROCHLORIDE""]",KETOROLAC
Carisoprodol,Avoid,"Most muscle relaxants poorly tolerated by older adults because some have anticholinergic adverse effects, sedation, increased risk of fractures; effectiveness at dosages tolerated by older adults questionable","[""ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE"", ""ASPIRIN; CARISOPRODOL"", ""CARISOPRODOL COMPOUND"", ""CARISOPRODOL, ASPIRIN AND CODEINE PHOSPHATE"", ""CARISOPRODOL"", ""CARISOPRODOL AND ASPIRIN""]",CARISOPRODOL
Chlorzoxazone,Avoid,"Most muscle relaxants poorly tolerated by older adults because some have anticholinergic adverse effects, sedation, increased risk of fractures; effectiveness at dosages tolerated by older adults questionable","[""CHLORZOXAZONE""]",CHLORZOXAZONE
Cyclobenzaprine,Avoid,"Most muscle relaxants poorly tolerated by older adults because some have anticholinergic adverse effects, sedation, increased risk of fractures; effectiveness at dosages tolerated by older adults questionable","[""CYCLOBENZAPRINE HYDROCHLORIDE""]",CYCLOBENZAPRINE
Metaxalone,Avoid,"Most muscle relaxants poorly tolerated by older adults because some have anticholinergic adverse effects, sedation, increased risk of fractures; effectiveness at dosages tolerated by older adults questionable","[""METAXALONE""]",METHANTHELINE
Methocarbamol,Avoid,"Most muscle relaxants poorly tolerated by older adults because some have anticholinergic adverse effects, sedation, increased risk of fractures; effectiveness at dosages tolerated by older adults questionable","[""METHOCARBAMOL AND ASPIRIN"", ""METHOCARBAMOL"", ""ASPIRIN; METHOCARBAMOL""]",METHOCARBAMOL
Orphenadrine,Avoid,"Most muscle relaxants poorly tolerated by older adults because some have anticholinergic adverse effects, sedation, increased risk of fractures; effectiveness at dosages tolerated by older adults questionable","[""ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE"", ""ORPHENADRINE CITRATE"", ""ORPHENADRINE CITRATE, ASPIRIN, AND CAFFEINE"", ""ORPHENADRINE HYDROCHLORIDE""]",ORPHENADRINE
Desmopressin ,Avoid as treatment of nocturia or nocturnal polyuria,High risk of hyponatremia; safer alternative treatments,"[""DESMOPRESSIN ACETATE PRESERVATIVE FREE"", ""DESMOPRESSIN ACETATE"", ""DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION)""]",DESMOPRESSIN
