,DrugName,ActiveIngredient
4254,VEETIDS '125',PENICILLIN V POTASSIUM
4255,OPHTHOCHLOR,CHLORAMPHENICOL
4256,BRISTAMYCIN,ERYTHROMYCIN STEARATE
4257,BACTOCILL,OXACILLIN SODIUM
4258,PRINCIPEN,AMPICILLIN/AMPICILLIN TRIHYDRATE
4259,AMPICILLIN SODIUM,AMPICILLIN SODIUM
4260,VERSAPEN-K,HETACILLIN POTASSIUM
4261,VEETIDS,PENICILLIN V POTASSIUM
4262,RETET,TETRACYCLINE HYDROCHLORIDE
4263,CLOXACILLIN SODIUM,CLOXACILLIN SODIUM
4264,DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM
4265,ERYTHROMYCIN STEARATE,ERYTHROMYCIN STEARATE
4266,TETRAMED,TETRACYCLINE HYDROCHLORIDE
4267,POLY-RX,POLYMYXIN B SULFATE
4268,NEO-RX,NEOMYCIN SULFATE
4269,BACI-RX,BACITRACIN
4270,VANOBID,CANDICIDIN
4271,ETHRIL 250,ERYTHROMYCIN STEARATE
4272,ETHRIL 500,ERYTHROMYCIN STEARATE
4273,PYOCIDIN,HYDROCORTISONE; POLYMYXIN B SULFATE
4274,ROBIMYCIN,ERYTHROMYCIN
4275,E.E.S. 200,ERYTHROMYCIN ETHYLSUCCINATE
4276,E.E.S. 400,ERYTHROMYCIN ETHYLSUCCINATE
4277,ECONOCHLOR,CHLORAMPHENICOL
4278,UTICILLIN VK,PENICILLIN V POTASSIUM
4279,BRISTACYCLINE,TETRACYCLINE HYDROCHLORIDE
4280,R-P MYCIN,ERYTHROMYCIN
4281,WYAMYCIN S,ERYTHROMYCIN STEARATE
4282,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE
4283,KOROSTATIN,NYSTATIN
4284,DOXYCHEL,DOXYCYCLINE
4285,CYCLOPAR,TETRACYCLINE HYDROCHLORIDE
4286,ROBITET,TETRACYCLINE HYDROCHLORIDE
4287,ZIBA-RX,BACITRACIN ZINC
4288,PROBAMPACIN,AMPICILLIN/AMPICILLIN TRIHYDRATE; PROBENECID
4289,VELOSEF '125',CEPHRADINE
4290,KEFZOL,CEFAZOLIN SODIUM
4291,PFIZER-E,ERYTHROMYCIN STEARATE
4292,CLOXAPEN,CLOXACILLIN SODIUM
4293,CLEOCIN,CLINDAMYCIN HYDROCHLORIDE
4294,PFIZERPEN VK,PENICILLIN V POTASSIUM
4295,OTOBIONE,HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4296,CLEOCIN,CLINDAMYCIN PALMITATE HYDROCHLORIDE
4297,TERRAMYCIN W/ POLYMYXIN,OXYTETRACYCLINE HYDROCHLORIDE; POLYMYXIN B SULFATE
4298,POLYMOX,AMOXICILLIN
4299,ANSPOR,CEPHRADINE
4300,RIFAMATE,ISONIAZID; RIFAMPIN
4301,TRIMOX,AMOXICILLIN
4302,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE
4303,AMOXICILLIN,AMOXICILLIN
4304,AMOXICILLIN PEDIATRIC,AMOXICILLIN
4305,DOXYCHEL HYCLATE,DOXYCYCLINE HYCLATE
4306,MYCO-TRIACET II,NYSTATIN; TRIAMCINOLONE ACETONIDE
4307,NYSTATIN,NYSTATIN
4308,CEPHALEXIN,CEPHALEXIN
4309,NAFCILLIN SODIUM,NAFCILLIN SODIUM
4310,FULVICIN P/G,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE"
4311,FULVICIN P/G 165,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE"
4312,FULVICIN P/G 330,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE"
4313,NALLPEN,NAFCILLIN SODIUM
4314,PENAPAR-VK,PENICILLIN V POTASSIUM
4315,AMCILL,AMPICILLIN/AMPICILLIN TRIHYDRATE
4316,ERYPAR,ERYTHROMYCIN STEARATE
4317,AEROSPORIN,POLYMYXIN B SULFATE
4318,PFIZERPEN-A,AMPICILLIN/AMPICILLIN TRIHYDRATE
4319,ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN ESTOLATE
4320,UTIMOX,AMOXICILLIN
4321,WYMOX,AMOXICILLIN
4322,WYAMYCIN E,ERYTHROMYCIN ETHYLSUCCINATE
4323,PENTIDS '200',PENICILLIN G POTASSIUM
4324,PENTIDS '250',PENICILLIN G POTASSIUM
4325,BACITRACIN-NEOMYCIN-POLYMYXIN W/ HYDROCORTISONE ACETATE,BACITRACIN ZINC; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4326,BACITRACIN-NEOMYCIN-POLYMYXIN,BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4327,KLEBCIL,KANAMYCIN SULFATE
4328,OPTOMYCIN,CHLORAMPHENICOL
4329,GRISACTIN ULTRA,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE"
4330,NYSTATIN AND TRIAMCINOLONE ACETONIDE,NYSTATIN; TRIAMCINOLONE ACETONIDE
4331,GENTAMICIN SULFATE,GENTAMICIN SULFATE
4332,E-MYCIN E,ERYTHROMYCIN ETHYLSUCCINATE
4333,CEFACLOR,CEFACLOR
4334,U-GENCIN,GENTAMICIN SULFATE
4335,BEEPEN-VK,PENICILLIN V POTASSIUM
4336,CHLORAMPHENICOL SODIUM SUCCINATE,CHLORAMPHENICOL SODIUM SUCCINATE
4337,GRIFULVIN V,"GRISEOFULVIN, MICROSIZE"
4338,BRISTAGEN,GENTAMICIN SULFATE
4339,APOGEN,GENTAMICIN SULFATE
4340,ERYDERM,ERYTHROMYCIN
4341,CEFADROXIL,CEFADROXIL/CEFADROXIL HEMIHYDRATE
4342,ERY-TAB,ERYTHROMYCIN
4343,OTOBIOTIC,HYDROCORTISONE; POLYMYXIN B SULFATE
4344,PEDIAMYCIN,ERYTHROMYCIN ETHYLSUCCINATE
4345,PEDIAMYCIN 400,ERYTHROMYCIN ETHYLSUCCINATE
4346,KANAMYCIN,KANAMYCIN SULFATE
4347,GENTAMICIN,GENTAMICIN SULFATE
4348,MYKACET,NYSTATIN; TRIAMCINOLONE ACETONIDE
4349,GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,GENTAMICIN SULFATE
4350,ULTRACEF,CEFADROXIL/CEFADROXIL HEMIHYDRATE
4351,NEOMYCIN & POLYMYXIN B SULFATES & BACITRACIN ZINC & HYDROCORTISONE,BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4352,NEOMYCIN SULFATE AND POLYMYXIN B SULFATE GRAMICIDIN,GRAMICIDIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4353,BACITRACIN ZINC-NEOMYCIN SULFATE-POLYMYXIN B SULFATE,BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4354,MYKINAC,NYSTATIN
4355,"ZINC BACITRACIN,NEOMYCIN SULFATE,POLYMYXIN B SULFATE & HYDROCORTISONE",BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4356,NEOMYCIN SULFATE-POLYMYXIN B SULFATE-HYDROCORTISONE,HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4357,OTICAIR,HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4358,A/T/S,ERYTHROMYCIN
4359,CHLORAMPHENICOL,CHLORAMPHENICOL SODIUM SUCCINATE
4360,DEXASPORIN,DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4361,CEPHALOTHIN SODIUM W/ SODIUM CHLORIDE IN PLASTIC CONTAINER,CEPHALOTHIN SODIUM
4362,CEPHALOTHIN SODIUM W/ DEXTROSE IN PLASTIC CONTAINER,CEPHALOTHIN SODIUM
4363,NEOMYCIN AND POLYMYXIN B SULFATES AND HYDROCORTISONE,HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4364,CEPHALOTHIN,CEPHALOTHIN SODIUM
4365,OCUMYCIN,BACITRACIN ZINC; POLYMYXIN B SULFATE
4366,SEFFIN,CEPHALOTHIN SODIUM
4367,T-STAT,ERYTHROMYCIN
4368,CHLOROFAIR,CHLORAMPHENICOL
4369,GENTAFAIR,GENTAMICIN SULFATE
4370,DOXYCYCLINE,DOXYCYCLINE HYCLATE
4371,GENOPTIC,GENTAMICIN SULFATE
4372,CEPHALOTHIN SODIUM,CEPHALOTHIN SODIUM
4373,KANAMYCIN SULFATE,KANAMYCIN SULFATE
4374,E-SOLVE 2,ERYTHROMYCIN
4375,C-SOLVE-2,ERYTHROMYCIN
4376,DOXY 100,DOXYCYCLINE HYCLATE
4377,DOXY 200,DOXYCYCLINE HYCLATE
4378,GENTACIDIN,GENTAMICIN SULFATE
4379,BARSTATIN 100,NYSTATIN
4380,DOXY-LEMMON,DOXYCYCLINE HYCLATE
4381,LANABIOTIC,BACITRACIN ZINC; LIDOCAINE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4382,ERYMAX,ERYTHROMYCIN
4383,NYSTEX,NYSTATIN
4384,SANSAC,ERYTHROMYCIN
4385,NEOMYCIN SULFATE-DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE; NEOMYCIN SULFATE
4386,DEXACIDIN,DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4387,KEFLIN IN PLASTIC CONTAINER,CEPHALOTHIN SODIUM
4388,ERYTHROMYCIN,ERYTHROMYCIN LACTOBIONATE
4389,KEFUROX IN PLASTIC CONTAINER,CEFUROXIME SODIUM
4390,KEFUROX,CEFUROXIME SODIUM
4391,NEOMYCIN SULFATE-TRIAMCINOLONE ACETONIDE,NEOMYCIN SULFATE; TRIAMCINOLONE ACETONIDE
4392,NYSTATIN TRIAMCINOLONE ACETONIDE,NYSTATIN; TRIAMCINOLONE ACETONIDE
4393,MYTREX F,NYSTATIN; TRIAMCINOLONE ACETONIDE
4394,MYTREX A,NEOMYCIN SULFATE; TRIAMCINOLONE ACETONIDE
4395,NYSTATIN-TRIAMCINOLONE ACETONIDE,NYSTATIN; TRIAMCINOLONE ACETONIDE
4396,ERYTHROMYCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE
4397,"NEOMYCIN SULFATE, POLYMYXIN B SULFATE & HYDROCORTISONE",HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4398,CEFTAZIDIME,CEFTAZIDIME
4399,ULTRAGRIS-165,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE"
4400,ULTRAGRIS-330,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE"
4401,ERYC 125,ERYTHROMYCIN
4402,TAZIDIME,CEFTAZIDIME
4403,TAZICEF,CEFTAZIDIME
4404,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE
4405,NEOMYCIN AND POLYMYXIN B SULFATE,NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4406,VANCOLED,VANCOMYCIN HYDROCHLORIDE
4407,CEPHRADINE,CEPHRADINE
4408,ERYTHRA-DERM,ERYTHROMYCIN
4409,CEFAZOLIN SODIUM,CEFAZOLIN SODIUM
4410,CEPHAPIRIN SODIUM,CEPHAPIRIN SODIUM
4411,NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE,DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4412,AMPHOTERICIN B,AMPHOTERICIN B
4413,TAZIDIME IN PLASTIC CONTAINER,CEFTAZIDIME
4414,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE
4415,ERYZOLE,ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL
4416,ERYTHROMYCIN ETHYLSUCCINATE AND SULFISOXAZOLE ACETYL,ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL
4417,LINCOMYCIN HCL,LINCOMYCIN HYDROCHLORIDE
4418,NEOMYCIN AND POLYMYXIN B SULFATES AND GRAMICIDIN,GRAMICIDIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4419,PEDIOTIC,HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4420,VANCOMYCIN HCL,VANCOMYCIN HYDROCHLORIDE
4421,BACITRACIN ZINC-POLYMYXIN B SULFATE,BACITRACIN ZINC; POLYMYXIN B SULFATE
4422,CYCLACILLIN,CYCLACILLIN
4423,RUBEX,DOXORUBICIN HYDROCHLORIDE
4424,VANCOR,VANCOMYCIN HYDROCHLORIDE
4425,E-BASE,ERYTHROMYCIN
4426,ANCEF IN PLASTIC CONTAINER,CEFAZOLIN SODIUM
4427,CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE
4428,DYNACIN,MINOCYCLINE HYDROCHLORIDE
4429,TOBRAMYCIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,TOBRAMYCIN SULFATE
4430,EMGEL,ERYTHROMYCIN
4431,TOBRAMYCIN SULFATE (PHARMACY BULK),TOBRAMYCIN SULFATE
4432,ADRIAMYCIN PFS,DOXORUBICIN HYDROCHLORIDE
4433,AMIKACIN SULFATE,AMIKACIN SULFATE
4434,TOBRAMYCIN,TOBRAMYCIN
4435,LINCOMYCIN HYDROCHLORIDE,LINCOMYCIN HYDROCHLORIDE
4436,MEFOXIN IN PLASTIC CONTAINER,CEFOXITIN SODIUM
4437,CEFTAZIDIME SODIUM IN PLASTIC CONTAINER,CEFTAZIDIME SODIUM
4438,PENTACEF,CEFTAZIDIME
4439,CLINDA-DERM,CLINDAMYCIN PHOSPHATE
4440,BACITRACIN ZINC AND POLYMYXIN B SULFATE,BACITRACIN ZINC; POLYMYXIN B SULFATE
4441,CEFUROXIME SODIUM,CEFUROXIME SODIUM
4442,NEOMYCIN SULFATE AND DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE; NEOMYCIN SULFATE
4443,"NEOMYCIN AND POLYMYXIN B SULFATES, BACITRACIN ZINC AND HYDROCORTISONE",BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
4444,BLEOMYCIN SULFATE,BLEOMYCIN SULFATE
4445,AKTOB,TOBRAMYCIN
4446,ERYTHRO-STATIN,ERYTHROMYCIN
4447,MITOMYCIN,MITOMYCIN
4448,NYSTOP,NYSTATIN
4449,TRIMETHOPRIM SULFATE AND POLYMYXIN B SULFATE,POLYMYXIN B SULFATE; TRIMETHOPRIM SULFATE
4450,TOBRAMYCIN AND DEXAMETHASONE,DEXAMETHASONE; TOBRAMYCIN
4451,CLINDETS,CLINDAMYCIN PHOSPHATE
4452,AMIKACIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,AMIKACIN SULFATE
4453,RIFAMPIN,RIFAMPIN
4454,BACIIM,BACITRACIN
4455,GENTAK,GENTAMICIN SULFATE
4456,PAROMOMYCIN SULFATE,PAROMOMYCIN SULFATE
4457,CEFOTAXIME,CEFOTAXIME SODIUM
4458,COLISTIMETHATE SODIUM,COLISTIMETHATE SODIUM
4459,GENGRAF,CYCLOSPORINE
4460,CYCLOSPORINE,CYCLOSPORINE
4461,E-GLADES,ERYTHROMYCIN
4462,NEO-FRADIN,NEOMYCIN SULFATE
4463,CEFOXITIN,CEFOXITIN SODIUM
4464,DOXYCYCLINE,DOXYCYCLINE
4465,IDARUBICIN HYDROCHLORIDE PFS,IDARUBICIN HYDROCHLORIDE
4466,IDARUBICIN HYDROCHLORIDE,IDARUBICIN HYDROCHLORIDE
4467,CEFUROXIME AXETIL,CEFUROXIME AXETIL
4468,CEFUROXIME,CEFUROXIME
4469,AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN; CLAVULANATE POTASSIUM
4470,AMPICILLIN AND SULBACTAM,AMPICILLIN SODIUM; SULBACTAM SODIUM
4471,DISPERMOX,AMOXICILLIN
4472,CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL
4473,MUPIROCIN,MUPIROCIN
4474,RANICLOR,CEFACLOR
4475,DEMECLOCYCLINE HYDROCHLORIDE,DEMECLOCYCLINE HYDROCHLORIDE
4476,PANIXINE DISPERDOSE,CEPHALEXIN
4477,ERYTHROMYCIN AND BENZOYL PEROXIDE,BENZOYL PEROXIDE; ERYTHROMYCIN
4478,PIPERACILLIN,PIPERACILLIN SODIUM
4479,CEFOTAXIME SODIUM,CEFOTAXIME SODIUM
4480,CEFTRIAXONE,CEFTRIAXONE SODIUM
4481,CLARITHROMYCIN,CLARITHROMYCIN
4482,CEFPROZIL,CEFPROZIL
4483,GRISEOFULVIN,"GRISEOFULVIN, MICROSIZE"
4484,CEFOXITIN AND DEXTROSE IN DUPLEX CONTAINER,CEFOXITIN SODIUM
4485,RIFAMPIN AND ISONIAZID,ISONIAZID; RIFAMPIN
4486,CEFTRIAXONE IN PLASTIC CONTAINER,CEFTRIAXONE SODIUM
4487,CEFUROXIME SODIUM IN PLASTIC CONTAINER,CEFUROXIME SODIUM
4488,CEFDINIR,CEFDINIR
4489,AZTREONAM,AZTREONAM
4490,PIPERACILLIN AND TAZOBACTAM,PIPERACILLIN SODIUM; TAZOBACTAM SODIUM
4491,CEFEPIME HYDROCHLORIDE,CEFEPIME HYDROCHLORIDE
4492,CEFOTETAN,CEFOTETAN DISODIUM
4493,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL
4494,CEFOTETAN AND DEXTROSE IN DUPLEX CONTAINER,CEFOTETAN DISODIUM
4495,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE
4496,TACROLIMUS,TACROLIMUS
4497,AMINOCAPROIC ACID IN PLASTIC CONTAINER,AMINOCAPROIC ACID
4498,SULFAMETHOPRIM,SULFAMETHOXAZOLE; TRIMETHOPRIM
4499,SATRIC,METRONIDAZOLE
4500,SULFAMETHOXAZOLE AND TRIMETHOPRIM SINGLE STRENGTH,SULFAMETHOXAZOLE; TRIMETHOPRIM
4501,SULFAMETHOPRIM-DS,SULFAMETHOXAZOLE; TRIMETHOPRIM
4502,COTRIM,SULFAMETHOXAZOLE; TRIMETHOPRIM
4503,IBUPROFEN,IBUPROFEN
4504,COTRIM D.S.,SULFAMETHOXAZOLE; TRIMETHOPRIM
4505,VALNAC,BETAMETHASONE VALERATE
4506,SULMEPRIM,SULFAMETHOXAZOLE; TRIMETHOPRIM
4507,SULMEPRIM PEDIATRIC,SULFAMETHOXAZOLE; TRIMETHOPRIM
4508,SULFATRIM-SS,SULFAMETHOXAZOLE; TRIMETHOPRIM
4509,SULFATRIM-DS,SULFAMETHOXAZOLE; TRIMETHOPRIM
4510,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE
4511,STERI-STAT,CHLORHEXIDINE GLUCONATE
4512,MAXOLON,METOCLOPRAMIDE HYDROCHLORIDE
4513,PROPACET 100,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE
4514,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE
4515,DIPHEN,DIPHENHYDRAMINE HYDROCHLORIDE
4516,DOXY-SLEEP-AID,DOXYLAMINE SUCCINATE
4517,NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE
4518,METHYLDOPA AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; METHYLDOPA
4519,METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE HYDROCHLORIDE
4520,FLUOR-OP,FLUOROMETHOLONE
4521,NALOXONE,NALOXONE HYDROCHLORIDE
4522,VALPROIC ACID,VALPROIC ACID
4523,LORAZ,LORAZEPAM
4524,HYDRAMINE,DIPHENHYDRAMINE HYDROCHLORIDE
4525,CARBAMAZEPINE,CARBAMAZEPINE
4526,NITROFURANTOIN MACROCRYSTALLINE,"NITROFURANTOIN, MACROCRYSTALLINE"
4527,INDO-LEMMON,INDOMETHACIN
4528,NALIDIXIC ACID,NALIDIXIC ACID
4529,CONSTULOSE,LACTULOSE
4530,METHYLDOPATE HYDROCHLORIDE,METHYLDOPATE HYDROCHLORIDE
4531,CARBACHOL,CARBACHOL
4532,CLOPRA,METOCLOPRAMIDE HYDROCHLORIDE
4533,METRONIDAZOLE HYDROCHLORIDE,METRONIDAZOLE HYDROCHLORIDE
4534,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
4535,PROPRANOLOL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
4536,CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE
4537,HALOPERIDOL,HALOPERIDOL LACTATE
4538,FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM HYDROCHLORIDE
4539,AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE
4540,HYDRO-RIDE,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
4541,TEMAZEPAM,TEMAZEPAM
4542,MECLOFENAMATE SODIUM,MECLOFENAMATE SODIUM
4543,VINCRISTINE SULFATE,VINCRISTINE SULFATE
4544,Q-PAM,DIAZEPAM
4545,PRAZEPAM,PRAZEPAM
4546,IBUPROHM,IBUPROFEN
4547,LORAZEPAM,LORAZEPAM
4548,MEDIPREN,IBUPROFEN
4549,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE
4550,TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE
4551,VICKS FORMULA 44,DIPHENHYDRAMINE HYDROCHLORIDE
4552,CLOFIBRATE,CLOFIBRATE
4553,EPITOL,CARBAMAZEPINE
4554,TEMAZ,TEMAZEPAM
4555,MUCOSIL-10,ACETYLCYSTEINE
4556,MUCOSIL-20,ACETYLCYSTEINE
4557,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE
4558,MIDOL,IBUPROFEN
4559,THIOTHIXENE,THIOTHIXENE
4560,"CLOPRA-""YELLOW""",METOCLOPRAMIDE HYDROCHLORIDE
4561,ZAXOPAM,OXAZEPAM
4562,MEGESTROL ACETATE,MEGESTROL ACETATE
4563,METHYLDOPA AND CHLOROTHIAZIDE,CHLOROTHIAZIDE; METHYLDOPA
4564,METOCLOPRAMIDE HCL,METOCLOPRAMIDE HYDROCHLORIDE
4565,VERAPAMIL HCL,VERAPAMIL HYDROCHLORIDE
4566,NALOXONE HCL,NALOXONE HYDROCHLORIDE
4567,OXAZEPAM,OXAZEPAM
4568,NORETHINDRONE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; NORETHINDRONE
4569,NALBUPHINE,NALBUPHINE HYDROCHLORIDE
4570,RITODRINE HCL,RITODRINE HYDROCHLORIDE
4571,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE
4572,ACETOHEXAMIDE,ACETOHEXAMIDE
4573,NORETHINDRONE AND MESTRANOL,MESTRANOL; NORETHINDRONE
4574,FLUPHENAZINE,FLUPHENAZINE DECANOATE
4575,DISOBROM,DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
4576,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
4577,ENFLURANE,ENFLURANE
4578,METAPROTERENOL SULFATE,METAPROTERENOL SULFATE
4579,DACARBAZINE,DACARBAZINE
4580,SUCRALFATE,SUCRALFATE
4581,VINCREX,VINCRISTINE SULFATE
4582,TAMOXIFEN CITRATE,TAMOXIFEN CITRATE
4583,TRIALODINE,TRAZODONE HYDROCHLORIDE
4584,THIOTHIXENE HYDROCHLORIDE,THIOTHIXENE HYDROCHLORIDE
4585,DROPERIDOL,DROPERIDOL
4586,K+8,POTASSIUM CHLORIDE
4587,K+10,POTASSIUM CHLORIDE
4588,SYMADINE,AMANTADINE HYDROCHLORIDE
4589,METHYLDOPATE HCL,METHYLDOPATE HYDROCHLORIDE
4590,NORETHINDRONE AND ETHINYL ESTRADIOL (7/14),ETHINYL ESTRADIOL; NORETHINDRONE
4591,NORETHINDRONE AND ETHINYL ESTRADIOL (10/11),ETHINYL ESTRADIOL; NORETHINDRONE
4592,ASTRAMORPH PF,MORPHINE SULFATE
4593,CONSTILAC,LACTULOSE
4594,FLOXURIDINE,FLOXURIDINE
4595,AZATHIOPRINE,AZATHIOPRINE SODIUM
4596,IBU-TAB 200,IBUPROFEN
4597,IBU-TAB,IBUPROFEN
4598,ACHES-N-PAIN,IBUPROFEN
4599,PROPRANOLOL HYDROCHLORIDE & HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
4600,CLONIDINE HYDROCHLORIDE AND CHLORTHALIDONE,CHLORTHALIDONE; CLONIDINE HYDROCHLORIDE
4601,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE
4602,RITODRINE HYDROCHLORIDE,RITODRINE HYDROCHLORIDE
4603,CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM
4604,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; TRIAMTERENE
4605,BACLOFEN,BACLOFEN
4606,E-Z-EM PREP LYTE,POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS
4607,TRIMIPRAMINE MALEATE,TRIMIPRAMINE MALEATE
4608,ANTITUSSIVE,DIPHENHYDRAMINE HYDROCHLORIDE
4609,ATROPINE,ATROPINE
4610,COLOVAGE,POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS
4611,CLORPRES,CHLORTHALIDONE; CLONIDINE HYDROCHLORIDE
4612,CHOLAC,LACTULOSE
4613,MINOXIDIL,MINOXIDIL
4614,ACETYLCYSTEINE,ACETYLCYSTEINE
4615,MECLODIUM,MECLOFENAMATE SODIUM
4616,ORALONE,TRIAMCINOLONE ACETONIDE
4617,PROPRANOLOL HYDROCHLORIDE INTENSOL,PROPRANOLOL HYDROCHLORIDE
4618,FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE
4619,DIAZEPAM INTENSOL,DIAZEPAM
4620,BRIAN CARE,CHLORHEXIDINE GLUCONATE
4621,VINCASAR PFS,VINCRISTINE SULFATE
4622,RITODRINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,RITODRINE HYDROCHLORIDE
4623,NORETHIN 1/35E-21,ETHINYL ESTRADIOL; NORETHINDRONE
4624,NORETHIN 1/35E-28,ETHINYL ESTRADIOL; NORETHINDRONE
4625,VINCRISTINE SULFATE PFS,VINCRISTINE SULFATE
4626,DIAZOXIDE,DIAZOXIDE
4627,MINODYL,MINOXIDIL
4628,NORETHIN 1/50M-21,MESTRANOL; NORETHINDRONE
4629,NORETHIN 1/50M-28,MESTRANOL; NORETHINDRONE
4630,N.E.E. 1/35 21,ETHINYL ESTRADIOL; NORETHINDRONE
4631,N.E.E. 1/35 28,ETHINYL ESTRADIOL; NORETHINDRONE
4632,NORCEPT-E 1/35 21,ETHINYL ESTRADIOL; NORETHINDRONE
