,Condition,Recommendation,Rationale,ExStandardized
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",TRIAZOLAM
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CHLORDIAZEPOXIDE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CLONAZEPAM
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CLORAZEPATE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",DIAZEPAM
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",FLURAZEPAM
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",QUAZEPAM
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",ESZOPICLONE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",ZALEPLON
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",ZOLPIDEM
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CHLORPROMAZINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",DROPERIDOL
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",FLUPHENAZINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",HALOPERIDOL
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",LOXAPINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PERPHENAZINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PIMOZIDE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PROCHLORPERAZINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",THIORIDAZINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",THIOTHIXENE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",TRIFLUOPERAZINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",ARIPIPRAZOLE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",ASENAPINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CLOZAPINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",ILOPERIDONE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",LURASIDONE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",OLANZAPINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PALIPERIDONE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",QUETIAPINE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",RISPERIDONE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",ZIPRASIDONE
0,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",PHENYTOIN
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",VALPROIC ACID
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",PHENOBARBITAL
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",LAMOTRIGINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",CARBAMAZEPINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",TOPIRAMATE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",OXCARBAZEPINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",ZONISAMIDE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",GABAPENTIN
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",LEVETIRACETAM
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",PREGABALIN
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",CLONAZEPAM
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",LACOSAMIDE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",RUFINAMIDE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",VIGABATRIN
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",CHLORPROMAZINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",DROPERIDOL
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",FLUPHENAZINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",HALOPERIDOL
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",LOXAPINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",PERPHENAZINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",PIMOZIDE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",PROCHLORPERAZINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",THIORIDAZINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",THIOTHIXENE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",TRIFLUOPERAZINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",ARIPIPRAZOLE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",ASENAPINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",CLOZAPINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",ILOPERIDONE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",LURASIDONE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",OLANZAPINE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",PALIPERIDONE
0,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",QUETIAPINE
