Drug,Condition,Recommendation,Rationale
Temazepam,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Triazolam,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Chlordiazepoxide,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Clonazepam,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Clorazepate,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Diazepam,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Flurazepam,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Quazepam,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Eszopiclone,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Zaleplon,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Zolpidem,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Chlorpromazine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Droperidol,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Fluphenazine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Haloperidol,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Loxapine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Perphenazine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Pimozide,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Prochlorperazine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Thioridazine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Thiothixene,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Trifluoperazine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Aripiprazole,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Asenapine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Clozapine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Iloperidone,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Lurasidone,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Olanzapine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Paliperidone,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Quetiapine,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Risperidone,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Ziprasidone,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Pimavanserin,Dementia or cognitive impairment,Avoid,"Avoid because of adverse CNS effects
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia."
Phenytoin,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Valproic Acid,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Phenobarbital,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Lamotrigine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Carbamazepine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Topiramate,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Oxcarbazepine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Zonisamide,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Gabapentin,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Levetiracetam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Pregabalin,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Clonazepam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Lacosamide,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Rufinamide,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Vigabatrin,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Chlorpromazine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Droperidol,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Fluphenazine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Haloperidol,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Loxapine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Perphenazine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Pimozide,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Prochlorperazine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Thioridazine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Thiothixene,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Trifluoperazine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Aripiprazole,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Asenapine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Clozapine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Iloperidone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Lurasidone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Olanzapine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Paliperidone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Quetiapine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Risperidone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
